PAIRS: 11130
VAN:   Max Speed=40km/h
BIKE:  Max Speed=20km/h
---------------------------------------------

NA			 NB			  VAN(s)      BIKE(s)
02114 		 99993 		  89 		  89
02114 		 99994 		  271 		  271
02117 		 00001 		  1531 		  1813
02117 		 00002 		  366 		  366
02117 		 00754 		  506 		  506
02117 		 00770 		  503 		  503
02117 		 01098 		  294 		  294
02117 		 02016 		  162 		  162
02117 		 02027 		  48 		  48
02117 		 02032 		  93 		  93
02117 		 02035 		  92 		  92
02117 		 02040 		  120 		  121
02117 		 02062 		  68 		  69
02117 		 02079 		  159 		  159
02117 		 02083 		  199 		  199
02117 		 02087 		  142 		  142
02117 		 02094 		  155 		  155
02117 		 02098 		  173 		  173
02117 		 02104 		  227 		  227
02117 		 02114 		  21 		  22
02117 		 02127 		  123 		  123
02117 		 02135 		  138 		  138
02117 		 02137 		  18 		  20
02117 		 02143 		  52 		  54
02117 		 02152 		  67 		  67
02117 		 02157 		  86 		  86
02117 		 02160 		  76 		  76
02117 		 02178 		  171 		  171
02117 		 02182 		  218 		  218
02117 		 02193 		  246 		  246
02117 		 02195 		  245 		  245
02117 		 02205 		  159 		  159
02117 		 02212 		  244 		  244
02117 		 02216 		  271 		  271
02117 		 02223 		  268 		  268
02117 		 02234 		  264 		  264
02117 		 02236 		  278 		  278
02117 		 02243 		  70 		  70
02117 		 02246 		  159 		  159
02117 		 02251 		  99 		  99
02117 		 02258 		  121 		  121
02117 		 02262 		  273 		  273
02117 		 02263 		  225 		  225
02117 		 02264 		  148 		  148
02117 		 02279 		  174 		  174
02117 		 02282 		  201 		  201
02117 		 02283 		  190 		  192
02117 		 02294 		  243 		  243
02117 		 02296 		  88 		  88
02117 		 02303 		  98 		  98
02117 		 02305 		  121 		  121
02117 		 02311 		  135 		  135
02117 		 02312 		  158 		  158
02117 		 02317 		  153 		  153
02117 		 02320 		  133 		  133
02117 		 02324 		  151 		  151
02117 		 02325 		  159 		  159
02117 		 02328 		  236 		  239
02117 		 02332 		  182 		  182
02117 		 02342 		  169 		  169
02117 		 02347 		  197 		  197
02117 		 02348 		  337 		  337
02117 		 02373 		  269 		  269
02117 		 02375 		  298 		  298
02117 		 02376 		  215 		  218
02117 		 02380 		  204 		  204
02117 		 02383 		  226 		  226
02117 		 02394 		  269 		  269
02117 		 02403 		  325 		  325
02117 		 02432 		  357 		  357
02117 		 02453 		  339 		  339
02117 		 02466 		  413 		  413
02117 		 02472 		  285 		  285
02117 		 02476 		  297 		  297
02117 		 02490 		  360 		  360
02117 		 02494 		  377 		  377
02117 		 02505 		  399 		  399
02117 		 02511 		  370 		  370
02117 		 02513 		  387 		  387
02117 		 02530 		  430 		  430
02117 		 02539 		  299 		  299
02117 		 02540 		  305 		  305
02117 		 02542 		  354 		  354
02117 		 02551 		  357 		  357
02117 		 02560 		  323 		  323
02117 		 02563 		  343 		  343
02117 		 02566 		  217 		  217
02117 		 02590 		  248 		  248
02117 		 02593 		  256 		  256
02117 		 02597 		  131 		  131
02117 		 02610 		  151 		  151
02117 		 02615 		  54 		  54
02117 		 02620 		  232 		  232
02117 		 05066 		  87 		  87
02117 		 05108 		  212 		  212
02117 		 05294 		  505 		  505
02117 		 05295 		  118 		  118
02117 		 05296 		  138 		  138
02117 		 50541 		  326 		  326
02117 		 50547 		  227 		  227
02117 		 50548 		  130 		  130
02117 		 50569 		  64 		  64
02117 		 50583 		  457 		  457
02117 		 99991 		  449 		  449
02117 		 99992 		  235 		  235
02117 		 99993 		  94 		  94
02117 		 99994 		  282 		  282
02127 		 00001 		  1530 		  1809
02127 		 00002 		  251 		  251
02127 		 00754 		  332 		  332
02127 		 00770 		  443 		  443
02127 		 01098 		  407 		  407
02127 		 02016 		  143 		  148
02127 		 02027 		  173 		  173
02127 		 02032 		  223 		  223
02127 		 02035 		  110 		  110
02127 		 02040 		  90 		  90
02127 		 02062 		  70 		  70
02127 		 02079 		  79 		  79
02127 		 02083 		  87 		  87
02127 		 02087 		  51 		  51
02127 		 02094 		  42 		  42
02127 		 02098 		  61 		  61
02127 		 02104 		  114 		  114
02127 		 02114 		  110 		  110
02127 		 02117 		  123 		  123
02127 		 02135 		  43 		  43
02127 		 02137 		  143 		  143
02127 		 02143 		  113 		  113
02127 		 02152 		  89 		  89
02127 		 02157 		  125 		  125
02127 		 02160 		  123 		  123
02127 		 02178 		  67 		  67
02127 		 02182 		  103 		  103
02127 		 02193 		  131 		  131
02127 		 02195 		  129 		  129
02127 		 02205 		  123 		  123
02127 		 02212 		  140 		  140
02127 		 02216 		  166 		  166
02127 		 02223 		  153 		  153
02127 		 02234 		  183 		  183
02127 		 02236 		  196 		  196
02127 		 02243 		  198 		  198
02127 		 02246 		  242 		  242
02127 		 02251 		  212 		  212
02127 		 02258 		  219 		  219
02127 		 02262 		  392 		  392
02127 		 02263 		  281 		  281
02127 		 02264 		  262 		  262
02127 		 02279 		  238 		  238
02127 		 02282 		  265 		  265
02127 		 02283 		  255 		  255
02127 		 02294 		  308 		  308
02127 		 02296 		  202 		  202
02127 		 02303 		  162 		  162
02127 		 02305 		  186 		  186
02127 		 02311 		  130 		  131
02127 		 02312 		  167 		  167
02127 		 02317 		  217 		  217
02127 		 02320 		  198 		  198
02127 		 02324 		  204 		  204
02127 		 02325 		  220 		  220
02127 		 02328 		  315 		  315
02127 		 02332 		  175 		  175
02127 		 02342 		  164 		  164
02127 		 02347 		  193 		  193
02127 		 02348 		  233 		  233
02127 		 02373 		  255 		  255
02127 		 02375 		  270 		  270
02127 		 02376 		  292 		  292
02127 		 02380 		  196 		  196
02127 		 02383 		  228 		  228
02127 		 02394 		  259 		  259
02127 		 02403 		  316 		  316
02127 		 02432 		  362 		  362
02127 		 02453 		  406 		  406
02127 		 02466 		  480 		  480
02127 		 02472 		  352 		  352
02127 		 02476 		  307 		  307
02127 		 02490 		  378 		  378
02127 		 02494 		  368 		  368
02127 		 02505 		  390 		  390
02127 		 02511 		  437 		  437
02127 		 02513 		  454 		  454
02127 		 02530 		  512 		  512
02127 		 02539 		  218 		  218
02127 		 02540 		  224 		  224
02127 		 02542 		  249 		  249
02127 		 02551 		  253 		  253
02127 		 02560 		  295 		  295
02127 		 02563 		  312 		  312
02127 		 02566 		  215 		  215
02127 		 02590 		  246 		  246
02127 		 02593 		  254 		  254
02127 		 02597 		  195 		  195
02127 		 02610 		  215 		  215
02127 		 02615 		  114 		  114
02127 		 02620 		  235 		  235
02127 		 05066 		  207 		  207
02127 		 05108 		  242 		  242
02127 		 05294 		  496 		  496
02127 		 05295 		  235 		  235
02127 		 05296 		  255 		  255
02127 		 50541 		  202 		  202
02127 		 50547 		  111 		  111
02127 		 50548 		  155 		  155
02127 		 50569 		  177 		  177
02127 		 50583 		  499 		  499
02127 		 99991 		  440 		  440
02127 		 99992 		  353 		  353
02127 		 99993 		  111 		  111
02127 		 99994 		  166 		  166
02135 		 00001 		  1507 		  1770
02135 		 00002 		  267 		  267
02135 		 00754 		  348 		  348
02135 		 00770 		  427 		  427
02135 		 01098 		  438 		  438
02135 		 02016 		  179 		  179
02135 		 02027 		  191 		  191
02135 		 02032 		  184 		  184
02135 		 02035 		  140 		  140
02135 		 02040 		  159 		  159
02135 		 02062 		  105 		  105
02135 		 02079 		  114 		  114
02135 		 02083 		  122 		  122
02135 		 02087 		  86 		  86
02135 		 02094 		  53 		  53
02135 		 02098 		  72 		  72
02135 		 02104 		  132 		  132
02135 		 02114 		  128 		  128
02135 		 02117 		  138 		  138
02135 		 02127 		  43 		  43
02135 		 02137 		  161 		  161
02135 		 02143 		  92 		  92
02135 		 02152 		  59 		  59
02135 		 02157 		  92 		  92
02135 		 02160 		  93 		  93
02135 		 02178 		  30 		  30
02135 		 02182 		  121 		  121
02135 		 02193 		  149 		  149
02135 		 02195 		  142 		  142
02135 		 02205 		  89 		  89
02135 		 02212 		  141 		  141
02135 		 02216 		  168 		  168
02135 		 02223 		  177 		  177
02135 		 02234 		  161 		  161
02135 		 02236 		  175 		  175
02135 		 02243 		  176 		  176
02135 		 02246 		  222 		  222
02135 		 02251 		  191 		  191
02135 		 02258 		  198 		  198
02135 		 02262 		  298 		  298
02135 		 02263 		  261 		  261
02135 		 02264 		  241 		  241
02135 		 02279 		  217 		  217
02135 		 02282 		  245 		  245
02135 		 02283 		  234 		  234
02135 		 02294 		  288 		  288
02135 		 02296 		  181 		  181
02135 		 02303 		  141 		  141
02135 		 02305 		  165 		  165
02135 		 02311 		  97 		  97
02135 		 02312 		  132 		  132
02135 		 02317 		  196 		  196
02135 		 02320 		  177 		  177
02135 		 02324 		  171 		  171
02135 		 02325 		  200 		  200
02135 		 02328 		  282 		  282
02135 		 02332 		  142 		  142
02135 		 02342 		  130 		  130
02135 		 02347 		  158 		  158
02135 		 02348 		  234 		  234
02135 		 02373 		  213 		  213
02135 		 02375 		  230 		  230
02135 		 02376 		  260 		  260
02135 		 02380 		  163 		  163
02135 		 02383 		  193 		  193
02135 		 02394 		  227 		  227
02135 		 02403 		  283 		  283
02135 		 02432 		  342 		  342
02135 		 02453 		  379 		  379
02135 		 02466 		  454 		  454
02135 		 02472 		  289 		  289
02135 		 02476 		  274 		  274
02135 		 02490 		  345 		  345
02135 		 02494 		  335 		  335
02135 		 02505 		  357 		  357
02135 		 02511 		  410 		  410
02135 		 02513 		  427 		  427
02135 		 02530 		  480 		  480
02135 		 02539 		  197 		  197
02135 		 02540 		  203 		  203
02135 		 02542 		  251 		  251
02135 		 02551 		  255 		  255
02135 		 02560 		  255 		  255
02135 		 02563 		  274 		  274
02135 		 02566 		  180 		  180
02135 		 02590 		  210 		  210
02135 		 02593 		  218 		  218
02135 		 02597 		  164 		  164
02135 		 02610 		  194 		  194
02135 		 02615 		  93 		  93
02135 		 02620 		  194 		  194
02135 		 05066 		  228 		  228
02135 		 05108 		  256 		  256
02135 		 05294 		  473 		  473
02135 		 05295 		  258 		  258
02135 		 05296 		  278 		  278
02135 		 50541 		  224 		  224
02135 		 50547 		  129 		  129
02135 		 50548 		  178 		  178
02135 		 50569 		  199 		  199
02135 		 50583 		  506 		  506
02135 		 99991 		  407 		  407
02135 		 99992 		  376 		  376
02135 		 99993 		  141 		  141
02135 		 99994 		  179 		  179
02137 		 00001 		  1592 		  1876
02137 		 00002 		  360 		  360
02137 		 00754 		  532 		  532
02137 		 00770 		  502 		  502
02137 		 01098 		  306 		  306
02137 		 02016 		  161 		  161
02137 		 02027 		  32 		  32
02137 		 02032 		  78 		  78
02137 		 02035 		  117 		  117
02137 		 02040 		  140 		  140
02137 		 02062 		  86 		  86
02137 		 02079 		  179 		  179
02137 		 02083 		  221 		  221
02137 		 02087 		  162 		  162
02137 		 02094 		  177 		  177
02137 		 02098 		  196 		  196
02137 		 02104 		  248 		  248
02137 		 02114 		  40 		  40
02137 		 02117 		  18 		  20
02137 		 02127 		  143 		  143
02137 		 02135 		  161 		  161
02137 		 02143 		  40 		  40
02137 		 02152 		  64 		  64
02137 		 02157 		  98 		  98
02137 		 02160 		  101 		  101
02137 		 02178 		  194 		  194
02137 		 02182 		  246 		  246
02137 		 02193 		  272 		  272
02137 		 02195 		  267 		  267
02137 		 02205 		  158 		  158
02137 		 02212 		  266 		  266
02137 		 02216 		  292 		  292
02137 		 02223 		  302 		  302
02137 		 02234 		  285 		  285
02137 		 02236 		  298 		  298
02137 		 02243 		  55 		  55
02137 		 02246 		  115 		  115
02137 		 02251 		  85 		  85
02137 		 02258 		  107 		  107
02137 		 02262 		  285 		  285
02137 		 02263 		  237 		  237
02137 		 02264 		  135 		  135
02137 		 02279 		  165 		  165
02137 		 02282 		  192 		  192
02137 		 02283 		  181 		  181
02137 		 02294 		  234 		  234
02137 		 02296 		  74 		  74
02137 		 02303 		  89 		  89
02137 		 02305 		  112 		  112
02137 		 02311 		  132 		  132
02137 		 02312 		  151 		  151
02137 		 02317 		  128 		  128
02137 		 02320 		  124 		  124
02137 		 02324 		  144 		  144
02137 		 02325 		  148 		  148
02137 		 02328 		  227 		  227
02137 		 02332 		  180 		  180
02137 		 02342 		  212 		  212
02137 		 02347 		  241 		  241
02137 		 02348 		  343 		  343
02137 		 02373 		  263 		  263
02137 		 02375 		  292 		  292
02137 		 02376 		  205 		  205
02137 		 02380 		  202 		  202
02137 		 02383 		  222 		  222
02137 		 02394 		  270 		  270
02137 		 02403 		  323 		  323
02137 		 02432 		  288 		  288
02137 		 02453 		  332 		  332
02137 		 02466 		  406 		  406
02137 		 02472 		  277 		  277
02137 		 02476 		  290 		  290
02137 		 02490 		  352 		  352
02137 		 02494 		  375 		  375
02137 		 02505 		  399 		  399
02137 		 02511 		  362 		  362
02137 		 02513 		  379 		  379
02137 		 02530 		  421 		  421
02137 		 02539 		  374 		  374
02137 		 02540 		  379 		  379
02137 		 02542 		  359 		  359
02137 		 02551 		  363 		  363
02137 		 02560 		  317 		  317
02137 		 02563 		  337 		  337
02137 		 02566 		  210 		  210
02137 		 02590 		  242 		  242
02137 		 02593 		  248 		  248
02137 		 02597 		  122 		  122
02137 		 02610 		  126 		  126
02137 		 02615 		  49 		  49
02137 		 02620 		  303 		  303
02137 		 05066 		  95 		  95
02137 		 05108 		  222 		  222
02137 		 05294 		  503 		  503
02137 		 05295 		  129 		  129
02137 		 05296 		  149 		  149
02137 		 50541 		  348 		  348
02137 		 50547 		  254 		  254
02137 		 50548 		  159 		  159
02137 		 50569 		  90 		  90
02137 		 50583 		  487 		  487
02137 		 99991 		  447 		  447
02137 		 99992 		  246 		  246
02137 		 99993 		  122 		  122
02137 		 99994 		  304 		  304
02143 		 00001 		  1560 		  1844
02143 		 00002 		  358 		  358
02143 		 00754 		  573 		  573
02143 		 00770 		  461 		  461
02143 		 01098 		  304 		  304
02143 		 02016 		  198 		  198
02143 		 02027 		  67 		  67
02143 		 02032 		  96 		  96
02143 		 02035 		  158 		  158
02143 		 02040 		  177 		  177
02143 		 02062 		  124 		  124
02143 		 02079 		  158 		  158
02143 		 02083 		  192 		  192
02143 		 02087 		  133 		  133
02143 		 02094 		  147 		  147
02143 		 02098 		  166 		  166
02143 		 02104 		  223 		  223
02143 		 02114 		  77 		  77
02143 		 02117 		  52 		  54
02143 		 02127 		  113 		  113
02143 		 02135 		  92 		  92
02143 		 02137 		  40 		  40
02143 		 02152 		  32 		  32
02143 		 02157 		  65 		  65
02143 		 02160 		  60 		  60
02143 		 02178 		  125 		  125
02143 		 02182 		  212 		  212
02143 		 02193 		  239 		  239
02143 		 02195 		  281 		  281
02143 		 02205 		  183 		  183
02143 		 02212 		  280 		  280
02143 		 02216 		  304 		  304
02143 		 02223 		  316 		  316
02143 		 02234 		  300 		  300
02143 		 02236 		  313 		  313
02143 		 02243 		  87 		  87
02143 		 02246 		  133 		  133
02143 		 02251 		  102 		  102
02143 		 02258 		  109 		  109
02143 		 02262 		  208 		  208
02143 		 02263 		  171 		  171
02143 		 02264 		  152 		  152
02143 		 02279 		  127 		  127
02143 		 02282 		  155 		  155
02143 		 02283 		  143 		  143
02143 		 02294 		  197 		  197
02143 		 02296 		  91 		  91
02143 		 02303 		  52 		  52
02143 		 02305 		  75 		  75
02143 		 02311 		  90 		  90
02143 		 02312 		  111 		  111
02143 		 02317 		  107 		  107
02143 		 02320 		  88 		  88
02143 		 02324 		  104 		  104
02143 		 02325 		  111 		  111
02143 		 02328 		  189 		  189
02143 		 02332 		  139 		  139
02143 		 02342 		  172 		  172
02143 		 02347 		  201 		  201
02143 		 02348 		  302 		  302
02143 		 02373 		  223 		  223
02143 		 02375 		  252 		  252
02143 		 02376 		  168 		  168
02143 		 02380 		  161 		  161
02143 		 02383 		  181 		  181
02143 		 02394 		  228 		  228
02143 		 02403 		  281 		  281
02143 		 02432 		  251 		  251
02143 		 02453 		  294 		  294
02143 		 02466 		  369 		  369
02143 		 02472 		  240 		  240
02143 		 02476 		  252 		  252
02143 		 02490 		  314 		  314
02143 		 02494 		  334 		  334
02143 		 02505 		  358 		  358
02143 		 02511 		  325 		  325
02143 		 02513 		  342 		  342
02143 		 02530 		  384 		  384
02143 		 02539 		  334 		  334
02143 		 02540 		  339 		  339
02143 		 02542 		  319 		  319
02143 		 02551 		  322 		  322
02143 		 02560 		  277 		  277
02143 		 02563 		  297 		  297
02143 		 02566 		  171 		  171
02143 		 02590 		  201 		  201
02143 		 02593 		  209 		  209
02143 		 02597 		  85 		  85
02143 		 02610 		  105 		  105
02143 		 02615 		  12 		  12
02143 		 02620 		  263 		  263
02143 		 05066 		  132 		  132
02143 		 05108 		  256 		  256
02143 		 05294 		  462 		  462
02143 		 05295 		  166 		  166
02143 		 05296 		  186 		  186
02143 		 50541 		  315 		  315
02143 		 50547 		  220 		  220
02143 		 50548 		  197 		  197
02143 		 50569 		  127 		  127
02143 		 50583 		  524 		  524
02143 		 99991 		  406 		  406
02143 		 99992 		  250 		  250
02143 		 99993 		  159 		  159
02143 		 99994 		  318 		  318
02152 		 00001 		  1505 		  1770
02152 		 00002 		  326 		  326
02152 		 00754 		  567 		  567
02152 		 00770 		  470 		  470
02152 		 01098 		  341 		  341
02152 		 02016 		  195 		  195
02152 		 02027 		  95 		  95
02152 		 02032 		  124 		  124
02152 		 02035 		  152 		  152
02152 		 02040 		  174 		  174
02152 		 02062 		  121 		  121
02152 		 02079 		  134 		  134
02152 		 02083 		  168 		  168
02152 		 02087 		  109 		  109
02152 		 02094 		  111 		  111
02152 		 02098 		  130 		  130
02152 		 02104 		  190 		  190
02152 		 02114 		  75 		  75
02152 		 02117 		  67 		  67
02152 		 02127 		  89 		  89
02152 		 02135 		  59 		  59
02152 		 02137 		  64 		  64
02152 		 02143 		  32 		  32
02152 		 02157 		  47 		  47
02152 		 02160 		  37 		  37
02152 		 02178 		  88 		  88
02152 		 02182 		  180 		  180
02152 		 02193 		  207 		  207
02152 		 02195 		  200 		  200
02152 		 02205 		  108 		  108
02152 		 02212 		  200 		  200
02152 		 02216 		  226 		  226
02152 		 02223 		  235 		  235
02152 		 02234 		  219 		  219
02152 		 02236 		  233 		  233
02152 		 02243 		  114 		  114
02152 		 02246 		  161 		  161
02152 		 02251 		  129 		  129
02152 		 02258 		  136 		  136
02152 		 02262 		  236 		  236
02152 		 02263 		  199 		  199
02152 		 02264 		  178 		  178
02152 		 02279 		  155 		  155
02152 		 02282 		  183 		  183
02152 		 02283 		  172 		  172
02152 		 02294 		  225 		  225
02152 		 02296 		  118 		  118
02152 		 02303 		  80 		  80
02152 		 02305 		  103 		  103
02152 		 02311 		  99 		  99
02152 		 02312 		  120 		  120
02152 		 02317 		  134 		  134
02152 		 02320 		  115 		  115
02152 		 02324 		  114 		  114
02152 		 02325 		  139 		  139
02152 		 02328 		  300 		  300
02152 		 02332 		  154 		  154
02152 		 02342 		  129 		  129
02152 		 02347 		  157 		  157
02152 		 02348 		  226 		  226
02152 		 02373 		  232 		  232
02152 		 02375 		  261 		  261
02152 		 02376 		  276 		  276
02152 		 02380 		  175 		  175
02152 		 02383 		  191 		  191
02152 		 02394 		  243 		  243
02152 		 02403 		  296 		  296
02152 		 02432 		  279 		  279
02152 		 02453 		  322 		  322
02152 		 02466 		  396 		  396
02152 		 02472 		  267 		  267
02152 		 02476 		  287 		  287
02152 		 02490 		  359 		  359
02152 		 02494 		  348 		  348
02152 		 02505 		  373 		  373
02152 		 02511 		  353 		  353
02152 		 02513 		  370 		  370
02152 		 02530 		  494 		  494
02152 		 02539 		  258 		  258
02152 		 02540 		  264 		  264
02152 		 02542 		  243 		  243
02152 		 02551 		  246 		  246
02152 		 02560 		  286 		  286
02152 		 02563 		  306 		  306
02152 		 02566 		  180 		  180
02152 		 02590 		  210 		  210
02152 		 02593 		  306 		  306
02152 		 02597 		  110 		  110
02152 		 02610 		  132 		  132
02152 		 02615 		  37 		  37
02152 		 02620 		  192 		  192
02152 		 05066 		  131 		  131
02152 		 05108 		  281 		  281
02152 		 05294 		  477 		  477
02152 		 05295 		  165 		  165
02152 		 05296 		  185 		  185
02152 		 50541 		  283 		  283
02152 		 50547 		  188 		  188
02152 		 50548 		  190 		  190
02152 		 50569 		  124 		  124
02152 		 50583 		  518 		  518
02152 		 99991 		  421 		  421
02152 		 99992 		  282 		  282
02152 		 99993 		  153 		  153
02152 		 99994 		  238 		  238
02157 		 00001 		  1477 		  1740
02157 		 00002 		  277 		  277
02157 		 00754 		  359 		  359
02157 		 00770 		  440 		  440
02157 		 01098 		  366 		  366
02157 		 02016 		  242 		  242
02157 		 02027 		  154 		  154
02157 		 02032 		  157 		  157
02157 		 02035 		  196 		  196
02157 		 02040 		  212 		  212
02157 		 02062 		  158 		  158
02157 		 02079 		  200 		  200
02157 		 02083 		  168 		  168
02157 		 02087 		  168 		  168
02157 		 02094 		  135 		  135
02157 		 02098 		  118 		  118
02157 		 02104 		  154 		  154
02157 		 02114 		  112 		  112
02157 		 02117 		  86 		  86
02157 		 02127 		  125 		  125
02157 		 02135 		  92 		  92
02157 		 02137 		  98 		  98
02157 		 02143 		  65 		  65
02157 		 02152 		  47 		  47
02157 		 02160 		  59 		  59
02157 		 02178 		  67 		  67
02157 		 02182 		  142 		  142
02157 		 02193 		  179 		  179
02157 		 02195 		  170 		  170
02157 		 02205 		  72 		  72
02157 		 02212 		  169 		  169
02157 		 02216 		  196 		  196
02157 		 02223 		  205 		  205
02157 		 02234 		  190 		  190
02157 		 02236 		  203 		  203
02157 		 02243 		  152 		  152
02157 		 02246 		  195 		  195
02157 		 02251 		  164 		  164
02157 		 02258 		  171 		  171
02157 		 02262 		  270 		  270
02157 		 02263 		  232 		  232
02157 		 02264 		  213 		  213
02157 		 02279 		  188 		  188
02157 		 02282 		  216 		  216
02157 		 02283 		  205 		  205
02157 		 02294 		  258 		  258
02157 		 02296 		  153 		  153
02157 		 02303 		  114 		  114
02157 		 02305 		  111 		  111
02157 		 02311 		  69 		  69
02157 		 02312 		  86 		  86
02157 		 02317 		  169 		  169
02157 		 02320 		  149 		  149
02157 		 02324 		  105 		  105
02157 		 02325 		  173 		  173
02157 		 02328 		  264 		  264
02157 		 02332 		  118 		  118
02157 		 02342 		  94 		  94
02157 		 02347 		  123 		  123
02157 		 02348 		  191 		  191
02157 		 02373 		  185 		  185
02157 		 02375 		  194 		  194
02157 		 02376 		  240 		  240
02157 		 02380 		  139 		  139
02157 		 02383 		  182 		  182
02157 		 02394 		  207 		  207
02157 		 02403 		  261 		  261
02157 		 02432 		  341 		  341
02157 		 02453 		  359 		  359
02157 		 02466 		  433 		  433
02157 		 02472 		  268 		  268
02157 		 02476 		  252 		  252
02157 		 02490 		  323 		  323
02157 		 02494 		  313 		  313
02157 		 02505 		  337 		  337
02157 		 02511 		  389 		  389
02157 		 02513 		  406 		  406
02157 		 02530 		  458 		  458
02157 		 02539 		  223 		  223
02157 		 02540 		  229 		  229
02157 		 02542 		  208 		  208
02157 		 02551 		  212 		  212
02157 		 02560 		  219 		  219
02157 		 02563 		  237 		  237
02157 		 02566 		  134 		  134
02157 		 02590 		  164 		  164
02157 		 02593 		  171 		  171
02157 		 02597 		  101 		  101
02157 		 02610 		  167 		  167
02157 		 02615 		  60 		  60
02157 		 02620 		  158 		  158
02157 		 05066 		  165 		  165
02157 		 05108 		  294 		  294
02157 		 05294 		  373 		  373
02157 		 05295 		  199 		  199
02157 		 05296 		  219 		  219
02157 		 50541 		  241 		  241
02157 		 50547 		  151 		  151
02157 		 50548 		  228 		  228
02157 		 50569 		  159 		  159
02157 		 50583 		  305 		  305
02157 		 99991 		  386 		  386
02157 		 99992 		  316 		  316
02157 		 99993 		  191 		  191
02157 		 99994 		  207 		  207
02160 		 00001 		  1540 		  1823
02160 		 00002 		  325 		  325
02160 		 00754 		  406 		  406
02160 		 00770 		  436 		  436
02160 		 01098 		  310 		  310
02160 		 02016 		  224 		  224
02160 		 02027 		  98 		  98
02160 		 02032 		  102 		  102
02160 		 02035 		  187 		  187
02160 		 02040 		  202 		  202
02160 		 02062 		  149 		  149
02160 		 02079 		  169 		  169
02160 		 02083 		  216 		  216
02160 		 02087 		  143 		  143
02160 		 02094 		  145 		  145
02160 		 02098 		  165 		  165
02160 		 02104 		  200 		  200
02160 		 02114 		  102 		  102
02160 		 02117 		  76 		  76
02160 		 02127 		  123 		  123
02160 		 02135 		  93 		  93
02160 		 02137 		  101 		  101
02160 		 02143 		  60 		  60
02160 		 02152 		  37 		  37
02160 		 02157 		  59 		  59
02160 		 02178 		  114 		  114
02160 		 02182 		  189 		  189
02160 		 02193 		  226 		  226
02160 		 02195 		  218 		  218
02160 		 02205 		  119 		  119
02160 		 02212 		  217 		  217
02160 		 02216 		  279 		  279
02160 		 02223 		  252 		  252
02160 		 02234 		  237 		  237
02160 		 02236 		  250 		  250
02160 		 02243 		  96 		  96
02160 		 02246 		  139 		  139
02160 		 02251 		  108 		  108
02160 		 02258 		  115 		  115
02160 		 02262 		  214 		  214
02160 		 02263 		  177 		  177
02160 		 02264 		  157 		  157
02160 		 02279 		  133 		  133
02160 		 02282 		  160 		  160
02160 		 02283 		  149 		  149
02160 		 02294 		  202 		  202
02160 		 02296 		  97 		  97
02160 		 02303 		  58 		  58
02160 		 02305 		  81 		  81
02160 		 02311 		  65 		  65
02160 		 02312 		  86 		  86
02160 		 02317 		  113 		  113
02160 		 02320 		  93 		  93
02160 		 02324 		  81 		  81
02160 		 02325 		  117 		  117
02160 		 02328 		  267 		  267
02160 		 02332 		  121 		  121
02160 		 02342 		  147 		  147
02160 		 02347 		  176 		  176
02160 		 02348 		  277 		  277
02160 		 02373 		  198 		  198
02160 		 02375 		  227 		  227
02160 		 02376 		  243 		  243
02160 		 02380 		  143 		  143
02160 		 02383 		  158 		  158
02160 		 02394 		  211 		  211
02160 		 02403 		  262 		  262
02160 		 02432 		  256 		  256
02160 		 02453 		  300 		  300
02160 		 02466 		  374 		  374
02160 		 02472 		  245 		  245
02160 		 02476 		  255 		  255
02160 		 02490 		  326 		  326
02160 		 02494 		  315 		  315
02160 		 02505 		  339 		  339
02160 		 02511 		  330 		  330
02160 		 02513 		  347 		  347
02160 		 02530 		  458 		  458
02160 		 02539 		  309 		  309
02160 		 02540 		  314 		  314
02160 		 02542 		  294 		  294
02160 		 02551 		  297 		  297
02160 		 02560 		  252 		  252
02160 		 02563 		  272 		  272
02160 		 02566 		  146 		  146
02160 		 02590 		  177 		  177
02160 		 02593 		  273 		  273
02160 		 02597 		  77 		  77
02160 		 02610 		  111 		  111
02160 		 02615 		  31 		  31
02160 		 02620 		  238 		  238
02160 		 05066 		  96 		  102
02160 		 05108 		  284 		  284
02160 		 05294 		  443 		  443
02160 		 05295 		  130 		  136
02160 		 05296 		  149 		  154
02160 		 50541 		  288 		  288
02160 		 50547 		  197 		  197
02160 		 50548 		  219 		  219
02160 		 50569 		  149 		  149
02160 		 50583 		  547 		  547
02160 		 99991 		  387 		  387
02160 		 99992 		  256 		  256
02160 		 99993 		  181 		  181
02160 		 99994 		  254 		  254
02178 		 00001 		  1513 		  1782
02178 		 00002 		  238 		  238
02178 		 00754 		  319 		  319
02178 		 00770 		  399 		  399
02178 		 01098 		  418 		  418
02178 		 02016 		  188 		  188
02178 		 02027 		  223 		  223
02178 		 02032 		  202 		  202
02178 		 02035 		  168 		  168
02178 		 02040 		  149 		  149
02178 		 02062 		  131 		  131
02178 		 02079 		  145 		  145
02178 		 02083 		  112 		  112
02178 		 02087 		  110 		  110
02178 		 02094 		  77 		  77
02178 		 02098 		  60 		  60
02178 		 02104 		  104 		  104
02178 		 02114 		  161 		  161
02178 		 02117 		  171 		  171
02178 		 02127 		  67 		  67
02178 		 02135 		  30 		  30
02178 		 02137 		  194 		  194
02178 		 02143 		  125 		  125
02178 		 02152 		  88 		  88
02178 		 02157 		  67 		  67
02178 		 02160 		  114 		  114
02178 		 02182 		  93 		  93
